Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?
2012-11-06 00:00:00-05:00,77.58000183105469,77.81999969482422,77.43000030517578,77.52999877929688,1397730,0.0,0.0,0.0,False
2012-11-07 00:00:00-05:00,76.80000305175781,77.23999786376953,76.29000091552734,76.81999969482422,2030153,0.0,0.0,0.0,False
2012-11-08 00:00:00-05:00,76.63999938964844,76.81999969482422,76.08999633789062,76.16000366210938,2227680,0.0,0.0,0.0,False
2012-11-09 00:00:00-05:00,76.0199966430664,76.91999816894531,75.69999694824219,76.37000274658203,1553301,0.0,0.0,0.0,False
2012-11-12 00:00:00-05:00,76.80000305175781,77.4800033569336,75.80999755859375,76.72000122070312,572091,0.0,0.0,0.0,False
2012-11-13 00:00:00-05:00,76.05000305175781,77.0199966430664,75.9000015258789,76.7300033569336,1078310,0.0,0.0,0.0,False
2012-11-14 00:00:00-05:00,76.76000213623047,76.8499984741211,75.7699966430664,75.87999725341797,951283,0.0,0.0,0.0,False
2012-11-15 00:00:00-05:00,75.81999969482422,76.33999633789062,75.4800033569336,75.75,1395470,0.0,0.0,0.0,False
2012-11-16 00:00:00-05:00,75.83999633789062,76.44999694824219,75.72000122070312,76.25,1786298,0.0,0.0,0.0,False
2012-11-19 00:00:00-05:00,76.56999969482422,77.36000061035156,76.4000015258789,77.36000061035156,999788,0.0,0.0,0.0,False
2012-11-20 00:00:00-05:00,76.98999786376953,78.0199966430664,76.86750030517578,77.77999877929688,1474054,0.0,0.0,0.0,False
2012-11-21 00:00:00-05:00,7.999999821186066,7.999999821186066,7.999999821186066,7.999999821186066,10000,0.0,0.0,0.0,True
2012-11-23 00:00:00-05:00,78.16999816894531,78.80000305175781,77.97000122070312,78.7699966430664,738262,0.0,0.0,0.0,False
2012-11-26 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,50000,0.0,0.0,0.0,True
2012-11-27 00:00:00-05:00,78.83999633789062,79.23999786376953,78.55000305175781,78.66000366210938,1540544,0.0,0.0,0.0,False
2012-11-28 00:00:00-05:00,7.500000298023224,7.999999821186066,7.500000298023224,7.999999821186066,124000,0.0,0.0,0.0,True
2012-11-29 00:00:00-05:00,79.5,79.73999786376953,79.09839630126953,79.3499984741211,1038474,0.0,0.0,0.0,False
2012-11-30 00:00:00-05:00,7.500000298023224,7.500000298023224,7.000000029802322,7.000000029802322,170000,0.0,0.0,0.0,True
2012-12-03 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,85000,0.0,0.0,0.0,True
2012-12-04 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,0,0.0,0.0,0.0,True
2012-12-05 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,36700,0.0,0.0,0.0,True
2012-12-06 00:00:00-05:00,7.000000029802322,7.500000298023224,7.000000029802322,7.500000298023224,81500,0.0,0.0,0.0,True
2012-12-07 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,13000,0.0,0.0,0.0,True
2012-12-10 00:00:00-05:00,7.000000029802322,7.500000298023224,7.000000029802322,7.500000298023224,101500,0.0,0.0,0.0,True
2012-12-11 00:00:00-05:00,7.500000298023224,7.500000298023224,7.000000029802322,7.500000298023224,106000,0.0,0.0,0.0,True
2012-12-12 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,3000,0.0,0.0,0.0,True
2012-12-13 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,180800,0.0,0.0,0.0,True
2012-12-14 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,434540,0.0,0.0,0.0,True
2012-12-17 00:00:00-05:00,7.000000029802322,7.000000029802322,5.999999865889549,6.499999761581421,481500,0.0,0.0,0.0,True
2012-12-18 00:00:00-05:00,6.499999761581421,7.000000029802322,6.499999761581421,7.000000029802322,396250,0.0,0.0,0.0,True
2012-12-19 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,19743,0.0,0.0,0.0,True
2012-12-20 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,4500,0.0,0.0,0.0,True
2012-12-21 00:00:00-05:00,7.000000029802322,7.000000029802322,6.499999761581421,6.499999761581421,39710,0.0,0.0,0.0,True
2012-12-24 00:00:00-05:00,7.000000029802322,7.500000298023224,7.000000029802322,7.000000029802322,53200,0.0,0.0,0.0,True
2012-12-26 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,0,0.0,0.0,0.0,True
2012-12-27 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,0,0.0,0.0,0.0,True
2012-12-28 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,0,0.0,0.0,0.0,True
2012-12-31 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,0,0.0,0.0,0.0,True
2013-01-02 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,37000,0.0,0.0,0.0,True
2013-01-03 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,17204,0.0,0.0,0.0,True
2013-01-04 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,116400,0.0,0.0,0.0,True
2013-01-07 00:00:00-05:00,6.499999761581421,7.500000298023224,6.499999761581421,7.500000298023224,15400,0.0,0.0,0.0,True
2013-01-08 00:00:00-05:00,7.500000298023224,7.500000298023224,7.000000029802322,7.000000029802322,37000,0.0,0.0,0.0,True
2013-01-09 00:00:00-05:00,7.000000029802322,7.500000298023224,7.000000029802322,7.500000298023224,25000,0.0,0.0,0.0,True
2013-01-10 00:00:00-05:00,7.500000298023224,7.500000298023224,7.500000298023224,7.500000298023224,7000,0.0,0.0,0.0,True
2013-01-11 00:00:00-05:00,7.000000029802322,7.000000029802322,7.000000029802322,7.000000029802322,1500,0.0,0.0,0.0,True
